predict_method, nbits, table_size, total_bits, accuracy
gshare,8,1024,8192,0.940044862
gshare,8,512,4096,0.938126284
gshare,6,1024,6144,0.935365365
gshare,7,1024,7168,0.934747733
gshare,7,512,3584,0.933735144
gshare,8,256,2048,0.930174737
gshare,7,256,1792,0.926249651
gshare,5,128,640,0.925865723
gshare,7,128,896,0.920434039
gshare,4,1024,4096,0.920270272
gshare,4,512,2048,0.919796287
gshare,8,128,1024,0.918594201
gshare,4,256,1024,0.917446285
gshare,3,512,1536,0.916728825
gshare,4,128,512,0.916193995
global_history,8,256,2048,0.915488433
global_history,8,1024,8192,0.915488433
global_history,8,512,4096,0.915488433
gshare,3,256,768,0.91409685
gshare,6,64,384,0.914089885
gshare,7,64,448,0.912757985
gshare,3,128,384,0.91243848
gshare,8,64,512,0.911149142
gshare,4,64,256,0.909145633
global_history,8,128,1024,0.908728816
gshare,5,64,320,0.908531193
gshare,2,1024,2048,0.906784313
gshare,2,512,1024,0.906321548
global_history,6,128,768,0.903671871
global_history,6,256,1536,0.903671871
global_history,6,64,384,0.903671871
global_history,6,512,3072,0.903671871
gshare,2,256,512,0.903504912
gshare,2,128,256,0.902228439
global_history,8,64,512,0.901532261
gshare,2,64,128,0.89871843
gshare,3,32,96,0.897834107
saturating,2,512,1024,0.897216088
saturating,3,1024,3072,0.895176788
gshare,5,32,160,0.894989226
gshare,6,32,192,0.894187126
gshare,7,32,224,0.893220001
saturating,3,512,1536,0.893011447
gshare,8,32,256,0.891977578
gshare,4,32,128,0.890835659
local_history,4,1024,4096,0.890669474
saturating,2,256,512,0.89041652
saturating,5,1024,5120,0.888699918
saturating,6,1024,6144,0.887847227
local_history,6,1024,6144,0.887847227
local_history,4,512,2048,0.887578313
saturating,7,1024,7168,0.886357848
saturating,3,256,768,0.886002939
local_history,3,256,768,0.886002939
gshare,2,32,64,0.885992202
global_history,5,512,2560,0.885919943
global_history,5,32,160,0.885919943
global_history,5,256,1280,0.885919943
saturating,5,512,2560,0.885444506
global_history,6,32,192,0.885334619
local_history,8,1024,8192,0.884961524
saturating,6,512,3072,0.884913159
local_history,6,512,3072,0.884913159
global_history,7,32,224,0.884583206
saturating,2,128,256,0.884550124
saturating,7,512,3584,0.883392922
local_history,7,512,3584,0.883392922
local_history,8,512,4096,0.881913022
saturating,4,256,1024,0.881116532
gshare,5,16,80,0.880817631
local_history,3,128,384,0.880738892
saturating,3,128,384,0.880738892
gshare,6,16,96,0.880420451
saturating,5,256,1280,0.879488343
gshare,7,16,112,0.879276984
saturating,6,256,1536,0.879107026
local_history,6,256,1536,0.879107026
saturating,2,64,128,0.878982242
gshare,8,16,128,0.877836261
gshare,3,16,48,0.877814109
saturating,7,256,1792,0.877570732
local_history,7,256,1792,0.877570732
saturating,8,256,2048,0.876075162
saturating,4,128,512,0.876010932
saturating,3,64,192,0.875563838
local_history,3,64,192,0.875563838
saturating,5,128,640,0.874377906
local_history,5,128,640,0.874377906
local_history,6,128,768,0.874199436
saturating,7,128,896,0.872698061
local_history,7,128,896,0.872698061
saturating,8,128,1024,0.871238475
global_history,4,512,2048,0.869336245
global_history,4,1024,4096,0.869336245
global_history,4,128,512,0.869336245
global_history,4,16,64,0.869336245
global_history,4,256,1024,0.869336245
local_history,4,64,256,0.869226261
saturating,4,64,256,0.869226261
global_history,5,16,80,0.868900371
global_history,6,16,96,0.868703812
global_history,7,16,112,0.86811046
gshare,2,16,32,0.86767507
saturating,5,64,320,0.867301879
local_history,5,64,320,0.867301879
local_history,6,64,384,0.86714498
local_history,7,64,448,0.865662855
gshare,3,8,24,0.86466468
saturating,8,64,512,0.864275818
saturating,1,1024,1024,0.858877507
local_history,1,1024,1024,0.858877507
gshare,6,8,48,0.858495707
local_history,1,512,512,0.858462044
saturating,1,512,512,0.858462044
gshare,1,1024,1024,0.85829847
gshare,5,8,40,0.858248654
gshare,1,512,512,0.857373811
gshare,8,8,64,0.856228797
global_history,3,512,1536,0.852876073
global_history,3,32,96,0.852876073
global_history,3,64,192,0.852876073
global_history,3,16,48,0.852876073
global_history,3,1024,3072,0.852876073
global_history,3,8,24,0.852876073
gshare,1,256,256,0.852432364
gshare,2,8,16,0.850909516
gshare,1,128,128,0.850485927
saturating,1,256,256,0.848497218
local_history,1,256,256,0.848497218
global_history,4,8,32,0.848027779
global_history,6,8,48,0.847754415
gshare,1,64,64,0.847689218
global_history,7,8,56,0.847269499
global_history,7,8,56,0.847269499
global_history,5,8,40,0.847148584
local_history,1,128,128,0.846689591
saturating,1,128,128,0.846689591
local_history,3,32,96,0.846509864
saturating,3,32,96,0.846509864
saturating,1,64,64,0.845259025
local_history,1,64,64,0.845259025
saturating,4,32,128,0.841344386
local_history,4,32,128,0.841344386
local_history,6,32,192,0.84013137
saturating,5,32,160,0.839781974
local_history,5,32,160,0.839781974
local_history,7,32,224,0.839094018
saturating,8,32,256,0.837999498
local_history,8,32,256,0.837999498
global_history,3,4,12,0.835009034
gshare,3,4,12,0.835009034
gshare,6,4,24,0.834980789
